Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_2026,2026,19,2,5,5,10,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,126,810,1006.99,20.46,47,42,1,98,4,16,NA,17.61,3,2,21.7,153,137,119,101,79,137,7.570563965,5,8
2201_2027,2027,7,2,5,5,11,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,135,811,1188.43,19.51,46,47,1,101,5,16,NA,21.03,1,3,24.2,140,126,101,95,62,126,8.303449659,14,13
2201_2028,2028,27,2,5,5,12,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,152,812,1156.68,20.03,48,39,2,98,5,16,NA,20.33,2,2,23.24,140,119,106,89,58,119,8.469577081,5,10
2201_2029,2029,25,2,5,5,13,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,161,813,1006.99,19.78,49,31,2,101,5,16,NA,17.76,1,2,21.96,146,112,102,85,55,112,9.225508438,7,13
2201_2030,2030,32,2,5,5,14,B21706,NA,B15430/B16504,2201,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,SVREC,178,814,1156.68,20.52,50,47,2,102,5,16,NA,20.21,3,3,23,153,126,108,98,80,126,8.423179173,2,9
2201_2031,2031,1,2,6,6,9,B20536,NA,B15430/B16504,2201,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,SVREC,110,1192,1433.38,19.65,50,49,2,101,6,16,NA,25.32,1,2,25.56,154,139,105,105,70,139,7.236141782,16,4
2201_2032,2032,12,2,6,6,10,B20602,NA,B16506/B16504,2201,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,SVREC,125,1191,1202.04,19.76,47,38,1,96,4,16,NA,21.2,1,1,25.53,153,115,110,102,80,115,8.700698773,2,11
2201_2033,2033,15,2,6,6,11,B19332,NA,B16501/B15464,2201,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,SVREC,136,1190,1347.19,20.03,50,42,1,101,4,16,NA,23.68,1,3,23.61,151,125,105,100,73,125,7.882278052,13,7
2201_2034,2034,4,2,6,6,12,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2201,14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,SVREC,151,1189,1451.52,20.17,48,40,2,101,5,16,NA,25.47,1,2,22.6,99,81,79,71,39,81,11.84451911,0,21
2201_2035,2035,13,2,6,6,13,B20532,NA,B15430/B16504,2201,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,SVREC,162,1188,1288.22,20.64,50,35,2,101,5,16,NA,22.47,1,2,21.65,153,122,104,93,81,122,8.451168906,6,10
2201_2036,2036,21,2,6,6,14,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,177,1187,1038.74,19.59,52,58,2,102,4,16,NA,18.36,3,3,24.73,98,72,72,68,40,72,13.62998674,2,24
2201_3001,3001,35,3,1,7,3,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,33,1203,1292.76,20.31,49,33,1,97,4,16,NA,22.64,3,1,22.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3002,3002,33,3,1,7,4,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,46,1204,1292.76,20.76,48,43,1,100,4,16,NA,22.52,2,1,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3003,3003,19,3,1,7,5,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,59,1205,929.88,20.63,47,40,1,98,4,16,NA,16.22,3,2,19.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3004,3004,18,3,1,7,6,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,72,1206,1324.51,19.71,47,39,1,98,4,16,NA,23.38,1,2,25.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
